Entity,Code,Year,"Child mortality rate of children aged under five years, per 100 live births","Current health expenditure per capita, PPP (current international $)",Population (historical),World regions according to OWID,time,time,time,time
Afghanistan,AFG,2019,6.332432,320.827,37856125,Asia,2019,2023,2019,2019
Albania,ALB,2019,0.9386445,992.4125,2885011,Europe,2019,2023,2019,2019
Algeria,DZA,2019,2.327008,729.4876,43294551,Africa,2019,2023,2019,2019
Andorra,AND,2019,0.29661763,4091.7102,76492,Europe,2019,2023,2019,2019
Angola,AGO,2019,7.4362893,173.0566,32375633,Africa,2019,2023,2019,2019
Antigua and Barbuda,ATG,2019,1.0279098,1063.2036,91377,North America,2019,2023,2019,2019
Argentina,ARG,2019,1.0483073,2334.7578,44973469,South America,2019,2023,2019,2019
Armenia,ARM,2019,1.2132035,1649.6506,2903975,Asia,2019,2023,2019,2019
Australia,AUS,2019,0.37837705,5450.587,25482714,Oceania,2019,2023,2019,2019
Austria,AUT,2019,0.3493662,6367.949,8880876,Europe,2019,2023,2019,2019
Azerbaijan,AZE,2019,2.2437232,624.1956,10110483,Asia,2019,2023,2019,2019
Bahamas,BHS,2019,2.3505862,2152.2402,394684,North America,2019,2023,2019,2019
Bahrain,BHR,2019,0.7832957,2066.1633,1485675,Asia,2019,2023,2019,2019
Bangladesh,BGD,2019,3.242516,129.13426,164913060,Asia,2019,2023,2019,2019
Barbados,BRB,2019,1.1408283,1026.9556,281216,North America,2019,2023,2019,2019
Belarus,BLR,2019,0.3132334,1176.5286,9435415,Europe,2019,2023,2019,2019
Belgium,BEL,2019,0.39289662,6110.099,11490623,Europe,2019,2023,2019,2019
Belize,BLZ,2019,1.3482404,454.55008,385833,North America,2019,2023,2019,2019
Benin,BEN,2019,8.800347,79.72821,12726760,Africa,2019,2023,2019,2019
Bhutan,BTN,2019,2.645557,424.0204,764830,Asia,2019,2023,2019,2019
Bolivia,BOL,2019,2.671817,617.9274,11671386,South America,2019,2023,2019,2019
Bosnia and Herzegovina,BIH,2019,0.66946703,1466.3381,3345532,Europe,2019,2023,2019,2019
Botswana,BWA,2019,4.4993906,1032.2382,2332082,Africa,2019,2023,2019,2019
Brazil,BRA,2019,1.5033846,1502.4813,207455459,South America,2019,2023,2019,2019
Brunei,BRN,2019,0.9834746,1411.4866,442690,Asia,2019,2023,2019,2019
Bulgaria,BGR,2019,0.6690523,1804.2103,6975466,Europe,2019,2023,2019,2019
Burkina Faso,BFA,2019,8.824847,117.76923,20961956,Africa,2019,2023,2019,2019
Burundi,BDI,2019,5.665731,66.69831,12255339,Africa,2019,2023,2019,2019
Cambodia,KHM,2019,2.6656976,313.47015,16481305,Asia,2019,2023,2019,2019
Cameroon,CMR,2019,7.720577,144.5382,25506095,Africa,2019,2023,2019,2019
Canada,CAN,2019,0.51473707,5560.361,37782934,North America,2019,2023,2019,2019
Cape Verde,CPV,2019,1.4120892,404.85757,514116,Africa,2019,2023,2019,2019
Central African Republic,CAF,2019,24.312054,75.33767,4944708,Africa,2019,2023,2019,2019
Chad,TCD,2019,11.463444,70.17754,16685223,Africa,2019,2023,2019,2019
Chile,CHL,2019,0.6972991,2384.3738,19197748,South America,2019,2023,2019,2019
China,CHN,2019,0.8039205,884.98065,1423520357,Asia,2019,2023,2019,2019
Colombia,COL,2019,1.3678353,1258.8547,49907987,South America,2019,2023,2019,2019
Comoros,COM,2019,4.4580455,177.63371,786582,Africa,2019,2023,2019,2019
Congo,COG,2019,5.238375,99.37222,5616656,Africa,2019,2023,2019,2019
Costa Rica,CRI,2019,0.91092616,1685.4113,4999549,North America,2019,2023,2019,2019
Cote d'Ivoire,CIV,2019,7.591421,159.52196,28193014,Africa,2019,2023,2019,2019
Croatia,HRV,2019,0.4725089,2174.2307,3986338,Europe,2019,2023,2019,2019
Cuba,CUB,2019,0.6866029,2578.0188,11202847,North America,2019,2023,2019,2019
Cyprus,CYP,2019,0.31210208,3179.2844,1286669,Europe,2019,2023,2019,2019
Czechia,CZE,2019,0.30237207,3422.4465,10554872,Europe,2019,2023,2019,2019
Democratic Republic of Congo,COD,2019,8.345689,36.851185,92947450,Africa,2019,2023,2019,2019
Denmark,DNK,2019,0.37825057,6180.2734,5814618,Europe,2019,2023,2019,2019
Djibouti,DJI,2019,5.74793,117.990105,1088710,Africa,2019,2023,2019,2019
Dominica,DMA,2019,3.3015187,702.73914,67901,North America,2019,2023,2019,2019
Dominican Republic,DOM,2019,3.4347985,802.1352,10894043,North America,2019,2023,2019,2019
East Timor,TLS,2019,5.5529046,192.1446,1300946,Asia,2019,2023,2019,2019
Ecuador,ECU,2019,1.3803413,922.83606,17340017,South America,2019,2023,2019,2019
Egypt,EGY,2019,2.009256,554.683,107553159,Africa,2019,2023,2019,2019
El Salvador,SLV,2019,1.2170055,835.5204,6222316,North America,2019,2023,2019,2019
Equatorial Guinea,GNQ,2019,8.169454,498.66803,1670184,Africa,2019,2023,2019,2019
Eritrea,ERI,2019,4.034524,91.88932,3240194,Africa,2019,2023,2019,2019
Estonia,EST,2019,0.25389117,2702.2666,1326822,Europe,2019,2023,2019,2019
Eswatini,SWZ,2019,5.16436,742.75275,1179885,Africa,2019,2023,2019,2019
Ethiopia,ETH,2019,5.408395,72.71867,115737384,Africa,2019,2023,2019,2019
Fiji,FJI,2019,2.5714667,593.39124,914906,Oceania,2019,2023,2019,2019
Finland,FIN,2019,0.23397154,4821.267,5521754,Europe,2019,2023,2019,2019
France,FRA,2019,0.4238085,5705.1416,65729460,Europe,2019,2023,2019,2019
Gabon,GAB,2019,3.7992187,413.21198,2267711,Africa,2019,2023,2019,2019
Gambia,GMB,2019,5.0742435,69.75343,2456847,Africa,2019,2023,2019,2019
Georgia,GEO,2019,0.9694256,1019.2542,3796722,Asia,2019,2023,2019,2019
Germany,DEU,2019,0.37413344,6830.8115,83559184,Europe,2019,2023,2019,2019
Ghana,GHA,2019,4.392218,182.89055,31258943,Africa,2019,2023,2019,2019
Greece,GRC,2019,0.4109204,2590.8474,10718581,Europe,2019,2023,2019,2019
Grenada,GRD,2019,1.852464,837.3205,115995,North America,2019,2023,2019,2019
Guatemala,GTM,2019,2.4516206,541.90894,17103803,North America,2019,2023,2019,2019
Guinea,GIN,2019,10.574585,107.17321,13034349,Africa,2019,2023,2019,2019
Guinea-Bissau,GNB,2019,7.9108577,146.1057,1967704,Africa,2019,2023,2019,2019
Guyana,GUY,2019,2.9278095,648.05994,807668,South America,2019,2023,2019,2019
Haiti,HTI,2019,6.2310147,125.56307,11105165,North America,2019,2023,2019,2019
Honduras,HND,2019,1.7764478,426.79706,9943637,North America,2019,2023,2019,2019
Hungary,HUN,2019,0.41363406,2207.807,9770346,Europe,2019,2023,2019,2019
Iceland,ISL,2019,0.26760417,5227.255,360709,Europe,2019,2023,2019,2019
India,IND,2019,3.4322462,202.8231,1389030307,Asia,2019,2023,2019,2019
Indonesia,IDN,2019,2.3612113,352.02313,272489381,Asia,2019,2023,2019,2019
Iran,IRN,2019,1.3472011,915.96954,87051649,Asia,2019,2023,2019,2019
Iraq,IRQ,2019,2.5746992,461.70657,41192172,Asia,2019,2023,2019,2019
Ireland,IRL,2019,0.3435464,6144.644,4933493,Europe,2019,2023,2019,2019
Israel,ISR,2019,0.35770118,3114.7485,8657466,Asia,2019,2023,2019,2019
Italy,ITA,2019,0.3078779,4016.7139,60130136,Europe,2019,2023,2019,2019
Jamaica,JAM,2019,1.883711,648.9635,2823275,North America,2019,2023,2019,2019
Japan,JPN,2019,0.24637277,4679.332,126699421,Asia,2019,2023,2019,2019
Jordan,JOR,2019,1.4807421,704.69775,10671893,Asia,2019,2023,2019,2019
Kazakhstan,KAZ,2019,1.0216105,737.9601,19209556,Asia,2019,2023,2019,2019
Kenya,KEN,2019,4.325353,208.51189,51202829,Africa,2019,2023,2019,2019
Kiribati,KIR,2019,5.929978,258.2877,123928,Oceania,2019,2023,2019,2019
Kuwait,KWT,2019,0.88669086,2642.7551,4442201,Asia,2019,2023,2019,2019
Kyrgyzstan,KGZ,2019,1.8359437,231.853,6494036,Asia,2019,2023,2019,2019
Laos,LAO,2019,4.5071125,212.54205,7237635,Asia,2019,2023,2019,2019
Latvia,LVA,2019,0.39738092,2202.676,1914267,Europe,2019,2023,2019,2019
Lebanon,LBN,2019,1.468422,1553.9723,5794601,Asia,2019,2023,2019,2019
Lesotho,LSO,2019,6.870795,565.5925,2209414,Africa,2019,2023,2019,2019
Liberia,LBR,2019,8.190629,122.76556,5043719,Africa,2019,2023,2019,2019
Libya,LBY,2019,1.1556216,1231.6261,6951040,Africa,2019,2023,2019,2019
Lithuania,LTU,2019,0.39121148,2834.0903,2795057,Europe,2019,2023,2019,2019
Luxembourg,LUX,2019,0.24821961,6700.6694,620167,Europe,2019,2023,2019,2019
Madagascar,MDG,2019,6.6084075,50.008736,28219559,Africa,2019,2023,2019,2019
Malawi,MWI,2019,4.5455947,99.9422,19025748,Africa,2019,2023,2019,2019
Malaysia,MYS,2019,0.81687385,1086.6544,33440590,Asia,2019,2023,2019,2019
Maldives,MDV,2019,0.74043155,1697.8474,487737,Asia,2019,2023,2019,2019
Mali,MLI,2019,10.311488,86.47465,21068405,Africa,2019,2023,2019,2019
Malta,MLT,2019,0.6118086,4666.135,504017,Europe,2019,2023,2019,2019
Marshall Islands,MHL,2019,3.192528,787.36957,44030,Oceania,2019,2023,2019,2019
Mauritania,MRT,2019,4.304797,170.54567,4467714,Africa,2019,2023,2019,2019
Mauritius,MUS,2019,1.5705123,1383.4114,1286269,Africa,2019,2023,2019,2019
Mexico,MEX,2019,1.422841,1111.3888,125762978,North America,2019,2023,2019,2019
Micronesia (country),FSM,2019,2.63489,389.81595,110293,Oceania,2019,2023,2019,2019
Moldova,MDA,2019,1.4992521,859.53687,3112561,Europe,2019,2023,2019,2019
Monaco,MCO,2019,0.31251928,7962.56,38131,Europe,2019,2023,2019,2019
Mongolia,MNG,2019,1.5555161,583.7922,3232118,Asia,2019,2023,2019,2019
Montenegro,MNE,2019,0.31563723,2045.0583,611671,Europe,2019,2023,2019,2019
Morocco,MAR,2019,1.9359554,435.44824,36210907,Africa,2019,2023,2019,2019
Mozambique,MOZ,2019,6.834758,107.70056,29884378,Africa,2019,2023,2019,2019
Myanmar,MMR,2019,4.4401817,208.77197,52640718,Asia,2019,2023,2019,2019
Namibia,NAM,2019,4.781212,808.96375,2650499,Africa,2019,2023,2019,2019
Nauru,NRU,2019,1.2163154,1328.732,11609,Oceania,2019,2023,2019,2019
Nepal,NPL,2019,3.1366806,184.41678,28414066,Asia,2019,2023,2019,2019
Netherlands,NLD,2019,0.4023332,6217.2046,17537505,Europe,2019,2023,2019,2019
New Zealand,NZL,2019,0.51085085,4288.513,4989410,Oceania,2019,2023,2019,2019
Nicaragua,NIC,2019,1.5712365,491.61884,6483660,North America,2019,2023,2019,2019
Niger,NER,2019,12.184826,73.617294,22947765,Africa,2019,2023,2019,2019
Nigeria,NGA,2019,11.7471,153.3196,209485637,Africa,2019,2023,2019,2019
North Macedonia,MKD,2019,0.69688654,1412.934,1897643,Europe,2019,2023,2019,2019
Norway,NOR,2019,0.2402453,7432.085,5347733,Europe,2019,2023,2019,2019
Oman,OMN,2019,1.0827117,1345.0721,4591248,Asia,2019,2023,2019,2019
Pakistan,PAK,2019,6.668287,148.1031,230800908,Asia,2019,2023,2019,2019
Palau,PLW,2019,2.3376224,2269.0317,17821,Oceania,2019,2023,2019,2019
Palestine,PSE,2019,1.5739701,565.15814,4957773,Asia,2019,2023,2019,2019
Panama,PAN,2019,1.5923742,2779.1829,4234698,North America,2019,2023,2019,2019
Papua New Guinea,PNG,2019,4.585073,95.03245,9609014,Oceania,2019,2023,2019,2019
Paraguay,PRY,2019,1.9399927,1018.2342,6515059,South America,2019,2023,2019,2019
Peru,PER,2019,1.679437,702.303,32449302,South America,2019,2023,2019,2019
Philippines,PHL,2019,2.7968097,377.78833,110804685,Asia,2019,2023,2019,2019
Poland,POL,2019,0.44431877,2292.1062,38225884,Europe,2019,2023,2019,2019
Portugal,PRT,2019,0.34554008,3603.8965,10343218,Europe,2019,2023,2019,2019
Qatar,QAT,2019,0.66510904,3023.116,2797927,Asia,2019,2023,2019,2019
Romania,ROU,2019,0.6786571,1912.9255,19501542,Europe,2019,2023,2019,2019
Russia,RUS,2019,0.5838024,1695.3658,146533063,Europe,2019,2023,2019,2019
Rwanda,RWA,2019,4.3442764,143.76721,12776102,Africa,2019,2023,2019,2019
Saint Kitts and Nevis,KNA,2019,1.8225522,1714.1086,46976,North America,2019,2023,2019,2019
Saint Lucia,LCA,2019,1.6510768,676.17206,177675,North America,2019,2023,2019,2019
Saint Vincent and the Grenadines,VCT,2019,1.3059949,633.70795,104183,North America,2019,2023,2019,2019
Samoa,WSM,2019,2.0229294,377.37564,209794,Oceania,2019,2023,2019,2019
San Marino,SMR,2019,0.16708204,5025.0024,34674,Europe,2019,2023,2019,2019
Sao Tome and Principe,STP,2019,1.70013,199.62419,213405,Africa,2019,2023,2019,2019
Saudi Arabia,SAU,2019,0.7249877,3151.006,30472809,Asia,2019,2023,2019,2019
